name;numVars;numCons;numIntVars;propIntVars;integerLP;minIntVars;maxIntVars;avgIntVars;avgVars;numBoundVars;minCoeff;maxCoeff;sizeObjFun;numNodes;numIntNodes;propIntNodes;numEdges;density;minDegree;maxDegree;avgDegree;tw_lb;tw_ub;td_ub;torso_lb;torso_ub;
iis-100-0-cov;100;3831;100;1,0000;true;6.0;6.0;6.0;6.0;100;1.0;1.0;100;100;100;1,0000;4319;0,8725;16;98;86,3800;80;0;0;0;0;
iis-bupa-cov;345;4803;345;1,0000;true;7.0;8.0;7.0;7.0;345;1.0;1.0;345;341;341;1,0000;19096;0,3294;7;319;112,0000;125;0;0;0;0;
iis-pima-cov;768;7201;768;1,0000;true;8.0;10.0;9.0;9.0;768;1.0;1.0;768;736;736;1,0000;39463;0,1459;9;651;107,2364;164;0;0;0;0;
lectsched-4-obj;7901;14163;7901;1,0000;true;1.0;7.0;5.0;5.0;7901;-1320.0;1320.0;1050;7808;7808;1,0000;65305;0,0021;1;937;16,7277;231;0;0;0;0;
m100n500k4r1;500;100;500;1,0000;true;8.0;32.0;20.0;20.0;500;1.0;1.0;500;500;500;1,0000;19035;0,1526;55;100;76,1400;103;0;0;0;0;
macrophage;2260;3164;2260;1,0000;true;3.0;3.0;3.0;3.0;2260;-1.0;1.0;1582;2260;2260;1,0000;4590;0,0018;2;62;4,0619;10;0;0;0;0;
./../input\benchmarks\map18.mps;no result;
./../input\benchmarks\map20.mps;no result;
mcsched;1747;2107;1745;0,9989;false;2.0;1575.0;3.0;3.0;1745;-1000.0;1.0;1;1747;1745;0,9989;1243386;0,8153;4;1579;1423,4528;1576;0;0;0;0;
mik.250-1-100.1;251;151;250;0,9960;false;0.0;52.0;34.0;35.0;250;-100.0;1985.0;251;251;250;0,9960;11575;0,3689;52;250;92,2311;52;0;0;0;0;
mine-90-10;900;6270;900;1,0000;true;2.0;180.0;2.0;2.0;900;-47497.0;47497.0;900;900;900;1,0000;112950;0,2792;179;269;251,0000;179;0;0;0;0;
mine-166-5;830;8429;830;1,0000;true;2.0;332.0;2.0;2.0;830;-25422.0;25422.0;830;830;830;1,0000;178699;0,5194;331;497;430,6000;331;0;0;0;0;
msc98-ip;21143;15850;20290;0,9597;false;0.0;92.0;5.0;5.0;21120;-1000000.0;2334530.0;7440;21143;20290;0,9597;560877;0,0025;1;759;53,0556;153;0;0;0;0;
mzzv11;10240;9499;10240;1,0000;true;2.0;62.0;14.0;14.0;10240;-106.0;1999.0;205;10240;10240;1,0000;285997;0,0055;5;188;55,8588;329;0;0;0;0;
./../input\benchmarks\n3div36.mps;no result;
./../input\benchmarks\n3seq24.mps;no result;
n4-3;3596;1236;174;0,0484;false;0.0;3.0;0.0;11.0;174;-255.0;1.0;3538;3596;174;0,0484;130741;0,0202;61;80;72,7147;250;0;0;0;0;
neos13;1827;20852;1815;0,9934;false;0.0;1815.0;0.0;12.0;1827;-146.227;227.459;12;1827;1815;0,9934;1668051;1,0000;1826;1826;1826,0000;1826;0;0;0;0;
neos18;3312;11402;3312;1,0000;true;1.0;80.0;2.0;2.0;3312;-1.0;1.0;80;3312;3312;1,0000;90671;0,0165;0;89;54,7530;82;0;0;0;0;
./../input\benchmarks\neos-476283.mps;no result;
neos-686190;3660;3664;3660;1,0000;true;2.0;60.0;4.0;4.0;3660;-1.0;69.0;3540;3660;3660;1,0000;222784;0,0333;118;177;121,7399;256;0;0;0;0;
neos-849702;1737;1041;1737;1,0000;true;9.0;32.0;18.0;18.0;1737;-1.0;1.0;0;1737;1737;1,0000;82920;0,0550;16;158;95,4750;199;0;0;0;0;
neos-916792;1474;1909;717;0,4864;false;0.0;495.0;1.0;70.0;979;-1000.0;20.0;262;1474;717;0,4864;389751;0,3590;55;759;528,8345;652;0;0;0;0;
neos-934278;23123;11495;19955;0,8630;false;2.0;72.0;10.0;10.0;19955;-1.0;1.0;23123;22338;19955;0,8933;1011807;0,0041;3;201;90,5907;622;0;0;0;0;
neos-1109824;1520;28979;1520;1,0000;true;2.0;76.0;3.0;3.0;1520;-1.0;1.0;1512;1520;1520;1,0000;95950;0,0831;73;130;126,2500;226;0;0;0;0;
neos-1337307;2840;5687;0;0,0000;false;0.0;0.0;0.0;5.0;0;-15725.0;6.0;1847;2840;0;0,0000;2215792;0,5496;1007;2839;1560,4169;1846;0;0;0;0;
neos-1396125;1161;1494;129;0,1111;false;0.0;30.0;1.0;3.0;1158;-250.0;196.0;258;1161;129;0,1111;10845;0,0161;10;49;18,6822;59;0;0;0;0;
neos-1601936;4446;3131;3906;0,8785;false;2.0;88.0;22.0;23.0;4122;-1.0;1.0;528;4373;3906;0,8932;373303;0,0391;6;440;170,7308;422;0;0;0;0;
net12;14115;14021;1603;0,1136;false;2.0;24.0;3.0;5.0;14115;-12.0;3.0;39;14115;1603;0,1136;518204;0,0052;2;790;73,4260;615;0;0;0;0;
newdano;505;576;56;0,1109;false;0.0;7.0;0.0;3.0;56;-81.0;1.0;1;505;56;0,1109;6552;0,0515;8;56;25,9485;53;0;0;0;0;
noswot;128;182;100;0,7812;false;2.0;25.0;2.0;4.0;100;-21.0;21.0;25;128;100;0,7812;935;0,1150;2;35;14,6094;24;0;0;0;0;
ns1208400;2883;4289;2880;0,9990;false;0.0;144.0;19.0;19.0;2880;-1.0;1.0;3;2883;2880;0,9990;411779;0,0991;23;435;285,6601;475;0;0;0;0;
ns1688347;2685;4191;2685;1,0000;true;2.0;333.0;15.0;15.0;2685;-1000.0;1000.0;35;2685;2685;1,0000;551917;0,1532;7;998;411,1114;601;0;0;0;0;
ns1758913;17956;624166;17822;0,9925;false;0.0;134.0;2.0;2.0;17822;-2741.809621;1.0;2;17956;17822;0,9925;1817642;0,0113;66;269;202,4551;202;0;0;0;0;
ns1766074;100;182;90;0,9000;false;1.0;9.0;1.0;3.0;0;-1.0;10.0;90;100;90;0,9000;945;0,1909;18;27;18,9000;21;0;0;0;0;
ns1830653;1629;2932;1458;0,8950;false;1.0;80.0;33.0;34.0;1629;-1.0;290.0;747;1611;1458;0,9050;192078;0,1481;24;380;238,4581;297;0;0;0;0;
opm2-z7-s2;2023;31798;2023;1,0000;true;2.0;2023.0;2.0;2.0;2023;-1.0;4094.0;1997;2023;2023;1,0000;2045253;1,0000;2022;2022;2022,0000;2022;0;0;0;0;
pg5_34;2600;225;100;0,0385;false;0.0;1.0;0.0;34.0;2600;-1529.0;99.0;2600;2600;100;0,0385;156250;0,0462;25;124;120,1923;319;0;0;0;0;
pigeon-10;490;931;400;0,8163;false;4.0;12.0;7.0;8.0;400;-85.0;1000.0;100;400;370;0,9250;6810;0,0853;12;117;34,0500;64;0;0;0;0;
pw-myciel4;1059;8164;1059;1,0000;true;2.0;24.0;2.0;2.0;1058;-1.0;1.0;1;1059;1059;1,0000;22034;0,0393;27;529;41,6128;91;0;0;0;0;
qiu;840;1192;48;0,0571;false;0.0;1.0;0.0;2.0;48;-22.23;1.0;312;840;48;0,0571;79332;0,2251;11;201;188,8857;220;0;0;0;0;
./../input\benchmarks\rail507.mps;no result;
ran16x16;512;288;256;0,5000;false;0.0;1.0;0.0;3.0;0;-54.0;1.0;512;512;256;0,5000;4096;0,0313;1;31;16,0000;37;0;0;0;0;
reblock67;670;2523;670;1,0000;true;2.0;134.0;2.0;2.0;670;-6507.0;6507.0;670;670;670;1,0000;62511;0,2789;133;200;186,6000;133;0;0;0;0;
rmatr100-p5;8784;8685;100;0,0114;false;1.0;100.0;1.0;3.0;100;-1.0;1.0;8784;8784;100;0,0114;30902;0,0008;2;290;7,0360;99;0;0;0;0;
rmatr100-p10;7359;7260;100;0,0136;false;1.0;100.0;1.0;3.0;100;-1.0;1.0;7359;7359;100;0,0136;26627;0,0010;2;267;7,2366;99;0;0;0;0;
rmine6;1096;7078;1096;1,0000;true;2.0;432.0;2.0;2.0;1096;-99.670269;99.670269;1096;1096;1096;1,0000;282129;0,4702;264;644;514,8339;431;0;0;0;0;
rocII-4-11;9234;21738;9086;0,9840;false;0.0;199.0;6.0;11.0;9146;-12.0;12.0;155;9233;9086;0,9841;993817;0,0233;1;2200;215,2750;202;0;0;0;0;
rococoC10-001000;3117;1293;3117;1,0000;true;1.0;67.0;9.0;9.0;3117;-34000.0;1.0;1;3117;3117;1,0000;122443;0,0252;0;95;78,5646;213;0;0;0;0;
roll3000;1166;2295;738;0,6329;false;0.0;490.0;12.0;12.0;1165;-112.0;322.0;1;1166;738;0,6329;153577;0,2261;1;564;263,4254;490;0;0;0;0;
satellites1-25;9013;5996;8509;0,9441;false;0.0;140.0;9.0;9.0;8551;-229941.0;18.0;356;9013;8509;0,9441;393753;0,0097;2;482;87,3745;428;0;0;0;0;
./../input\benchmarks\sp98ic.mps;no result;
sp98ir;1680;1531;1680;1,0000;true;1.0;884.0;46.0;46.0;1680;-12.0;570.0;1680;1680;1680;1,0000;975160;0,6914;3;1627;1160,9048;973;0;0;0;0;
tanglegram1;34759;68342;34759;1,0000;true;3.0;3.0;3.0;3.0;34759;-1.0;1.0;34171;34759;34759;1,0000;69148;0,0001;2;8765;3,9787;16;0;0;0;0;
tanglegram2;4714;8980;4714;1,0000;true;3.0;3.0;3.0;3.0;4714;-1.0;1.0;4490;4714;4714;1,0000;9320;0,0008;2;1262;3,9542;12;0;0;0;0;
timtab1;397;171;171;0,4307;false;1.0;1.0;1.0;4.0;397;-60.0;1.0;128;397;171;0,4307;1439;0,0183;2;142;7,2494;12;0;0;0;0;
./../input\benchmarks\triptim1.mps;no result;
unitcal_7;25755;48939;2856;0,1109;false;0.0;168.0;0.0;2.0;17136;-1000.0;120.0;9408;25755;2856;0,1109;832388;0,0025;2;188;64,6389;588;0;0;0;0;
