Timeout for one MILP instance: 600s
name;numVars;numCons;numIntVars;propIntVars;integerLP;minIntVars;maxIntVars;avgIntVars;avgVars;sizeObjFun;numNodes;numIntNodes;propIntNodes;numEdges;density;minDegree;maxDegree;avgDegree;tw_lb;tw_ub;td_ub;torso_lb;torso_ub;
enlight13;338;169;338;1,0000;true;4.0;169.0;6.0;6.0;169;338;338;1,0000;14989;0,2632;3;173;88,6923;168;168;0;0;0;
enlight14;392;196;392;1,0000;true;4.0;196.0;6.0;6.0;196;392;392;1,0000;20034;0,2614;3;200;102,2143;195;195;0;0;0;
./../input\benchmarks\ex9.mps;no result;
glass4;322;396;302;0,9379;false;0.0;13.0;1.0;4.0;20;322;302;0,9379;2368;0,0458;7;95;14,7081;19;19;0;0;0;
gmu-35-40;1205;424;1200;0,9959;false;0.0;1050.0;13.0;13.0;1050;1205;1200;0,9959;552869;0,7621;5;1059;917,6249;1049;1049;0;0;0;
iis-100-0-cov;100;3831;100;1,0000;true;6.0;100.0;6.0;6.0;100;100;100;1,0000;4950;1,0000;99;99;99,0000;99;99;0;0;0;
iis-bupa-cov;345;4803;345;1,0000;true;7.0;345.0;8.0;8.0;345;345;345;1,0000;59340;1,0000;344;344;344,0000;344;344;0;0;0;
iis-pima-cov;768;7201;768;1,0000;true;8.0;768.0;10.0;10.0;768;768;768;1,0000;294528;1,0000;767;767;767,0000;767;767;0;0;0;
lectsched-4-obj;7901;14163;7901;1,0000;true;1.0;1050.0;5.0;5.0;1050;7901;7901;1,0000;616030;0,0197;1;1054;155,9372;1049;1049;0;0;0;
m100n500k4r1;500;100;500;1,0000;true;8.0;500.0;25.0;25.0;500;500;500;1,0000;124750;1,0000;499;499;499,0000;499;499;0;0;0;
macrophage;2260;3164;2260;1,0000;true;3.0;1582.0;3.0;3.0;1582;2260;2260;1,0000;1255161;0,4917;2;1583;1110,7619;1581;1581;0;0;0;
./../input\benchmarks\map18.mps;no result;
./../input\benchmarks\map20.mps;no result;
mcsched;1747;2107;1745;0,9989;false;0.0;1575.0;3.0;3.0;1;1747;1745;0,9989;1243386;0,8153;4;1579;1423,4528;1576;1576;0;0;0;
mik.250-1-100.1;251;151;250;0,9960;false;0.0;250.0;36.0;37.0;251;251;250;0,9960;31375;1,0000;250;250;250,0000;250;250;0;0;0;
mine-90-10;900;6270;900;1,0000;true;2.0;900.0;2.0;2.0;900;900;900;1,0000;404550;1,0000;899;899;899,0000;899;899;0;0;0;
mine-166-5;830;8429;830;1,0000;true;2.0;830.0;2.0;2.0;830;830;830;1,0000;344035;1,0000;829;829;829,0000;829;829;0;0;0;
./../input\benchmarks\msc98-ip.mps;no result;
./../input\benchmarks\mspp16.mps;no result;
./../input\benchmarks\mzzv11.mps;no result;
./../input\benchmarks\n3div36.mps;no result;
./../input\benchmarks\n3seq24.mps;no result;
./../input\benchmarks\n4-3.mps;no result;
neos13;1827;20852;1815;0,9934;false;0.0;1815.0;0.0;12.0;12;1827;1815;0,9934;1668051;1,0000;1826;1826;1826,0000;1826;1826;0;0;0;
neos18;3312;11402;3312;1,0000;true;1.0;80.0;2.0;2.0;80;3312;3312;1,0000;93831;0,0171;1;158;56,6612;84;107;0;0;0;
./../input\benchmarks\neos-476283.mps;no result;
./../input\benchmarks\neos-686190.mps;no result;
neos-849702;1737;1041;1737;1,0000;true;0.0;32.0;18.0;18.0;0;1737;1737;1,0000;82920;0,0550;16;158;95,4750;199;1258;0;0;0;
neos-916792;1474;1909;717;0,4864;false;0.0;495.0;1.0;70.0;262;1474;717;0,4864;423942;0,3905;55;759;575,2266;756;756;0;0;0;
./../input\benchmarks\neos-934278.mps;no result;
neos-1109824;1520;28979;1520;1,0000;true;2.0;1512.0;3.0;3.0;1512;1520;1520;1,0000;1143340;0,9904;130;1516;1504,3947;1511;1511;0;0;0;
./../input\benchmarks\neos-1337307.mps;no result;
neos-1396125;1161;1494;129;0,1111;false;0.0;30.0;1.0;3.0;258;1161;129;0,1111;42486;0,0631;10;287;73,1886;257;433;0;0;0;
./../input\benchmarks\neos-1601936.mps;no result;
net12;14115;14021;1603;0,1136;false;2.0;39.0;3.0;5.0;39;14115;1603;0,1136;518839;0,0052;38;820;73,5160;619;1108;0;0;0;
newdano;505;576;56;0,1109;false;0.0;7.0;0.0;3.0;1;505;56;0,1109;6552;0,0515;8;56;25,9485;53;315;0;0;0;
noswot;128;182;100;0,7812;false;2.0;25.0;2.0;4.0;25;128;100;0,7812;935;0,1150;2;35;14,6094;24;24;0;0;0;
./../input\benchmarks\ns1208400.mps;no result;
ns1688347;2685;4191;2685;1,0000;true;2.0;333.0;15.0;15.0;35;2685;2685;1,0000;551917;0,1532;7;998;411,1114;603;1445;0;0;0;
./../input\benchmarks\ns1758913.mps;no result;
ns1766074;100;182;90;0,9000;false;1.0;90.0;2.0;4.0;90;100;90;0,9000;4230;0,8545;27;91;84,6000;90;91;0;0;0;
ns1830653;1629;2932;1458;0,8950;false;1.0;576.0;34.0;34.0;747;1629;1458;0,8950;428445;0,3231;24;961;526,0221;746;1213;0;0;0;
opm2-z7-s2;2023;31798;2023;1,0000;true;2.0;2023.0;2.0;2.0;1997;2023;2023;1,0000;2045253;1,0000;2022;2022;2022,0000;2022;2022;0;0;0;
pg5_34;2600;225;100;0,0385;false;0.0;100.0;1.0;45.0;2600;2600;100;0,0385;3378700;1,0000;2599;2599;2599,0000;2599;2599;0;0;0;
pigeon-10;490;931;400;0,8163;false;4.0;40.0;7.0;8.0;100;490;400;0,8163;11715;0,0978;17;117;47,8163;99;119;0;0;0;
pw-myciel4;1059;8164;1059;1,0000;true;1.0;24.0;2.0;2.0;1;1059;1059;1,0000;22034;0,0393;27;529;41,6128;91;447;0;0;0;
qiu;840;1192;48;0,0571;false;0.0;48.0;0.0;3.0;312;840;48;0,0571;119268;0,3385;201;443;283,9714;400;604;0;0;0;
./../input\benchmarks\rail507.mps;no result;
ran16x16;512;288;256;0,5000;false;0.0;256.0;1.0;5.0;512;512;256;0,5000;130816;1,0000;511;511;511,0000;511;511;0;0;0;
reblock67;670;2523;670;1,0000;true;2.0;670.0;3.0;3.0;670;670;670;1,0000;224115;1,0000;669;669;669,0000;669;669;0;0;0;
./../input\benchmarks\rmatr100-p5.mps;no result;
./../input\benchmarks\rmatr100-p10.mps;no result;
rmine6;1096;7078;1096;1,0000;true;2.0;1096.0;2.0;2.0;1096;1096;1096;1,0000;600060;1,0000;1095;1095;1095,0000;1095;1095;0;0;0;
rocII-4-11;9234;21738;9086;0,9840;false;0.0;199.0;6.0;11.0;155;9234;9086;0,9840;1002595;0,0235;66;2200;217,1529;202;569;0;0;0;
rococoC10-001000;3117;1293;3117;1,0000;true;1.0;67.0;9.0;9.0;1;3117;3117;1,0000;122443;0,0252;0;95;78,5646;212;1664;0;0;0;
roll3000;1166;2295;738;0,6329;false;0.0;490.0;12.0;12.0;1;1166;738;0,6329;153577;0,2261;1;564;263,4254;490;494;0;0;0;
./../input\benchmarks\satellites1-25.mps;no result;
./../input\benchmarks\sp98ic.mps;no result;
sp98ir;1680;1531;1680;1,0000;true;1.0;1680.0;47.0;47.0;1680;1680;1680;1,0000;1410360;1,0000;1679;1679;1679,0000;1679;1679;0;0;0;
./../input\benchmarks\tanglegram1.mps;no result;
./../input\benchmarks\tanglegram2.mps;no result;
timtab1;397;171;171;0,4307;false;0.0;1.0;1.0;5.0;128;397;171;0,4307;9284;0,1181;2;216;46,7708;127;127;0;0;0;
./../input\benchmarks\triptim1.mps;no result;
./../input\benchmarks\unitcal_7.mps;no result;
