name;numVars;numCons;numIntVars;propIntVars;integerLP;minIntVars;maxIntVars;avgIntVars;avgVars;numBoundVars;minCoeff;maxCoeff;sizeObjFun;numNodes;numIntNodes;propIntNodes;numEdges;density;minDegree;maxDegree;avgDegree;tw_lb;tw_ub;td_lb;td_ub;torso_lb;torso_ub;numNodes;numIntNodes;propIntNodes;numEdges;density;minDegree;maxDegree;avgDegree;tw_lb;tw_ub;td_lb;td_ub;
danoint;521;664;56;0,11;false;0.0;7.0;1.0;4.0;64;-66.5;62.69;1;521;56;0,1075;12888;0,0951;8;120;49,4741;96;274;10;514;0;0;1185;56;0,0473;3232;0,0046;2;64;5,4549;35;154;9;476;
dfn-gwin-UUM;938;158;90;0,10;false;0.0;2.0;0.0;16.0;0;-622.0;1.0;91;938;90;0,0959;21402;0,0487;0;53;45,6333;0;596;10;;0;0;1096;90;0,0821;2632;0,0044;1;20;4,8029;1;98;8;;
./..\input\benchmarks\eil33.2.mps;no result;
./..\input\benchmarks\eilB101.mps;no result;
enlight13;338;169;338;1,00;true;4.0;6.0;5.0;5.0;169;-2.0;1.0;169;338;338;1,0000;1679;0,0295;3;17;9,9349;15;37;8;201;0;0;507;338;0,6667;962;0,0075;1;6;3,7949;10;36;7;253;
enlight14;392;196;392;1,00;true;4.0;6.0;5.0;5.0;196;-2.0;1.0;196;392;392;1,0000;1962;0,0256;3;17;10,0102;15;40;8;218;0;0;588;392;0,6667;1120;0,0065;1;6;3,8095;11;42;7;317;
glass4;322;396;302;0,94;false;0.0;13.0;1.0;4.0;318;-8400000.0;1300.0;20;322;302;0,9379;2340;0,0453;0;94;14,5342;0;17;7;;0;0;717;302;0,4212;1815;0,0071;2;90;5,0628;17;17;7;70;
gmu-35-40;1205;424;1200;1,00;false;0.0;425.0;11.0;11.0;1200;-1395.293305;2574.3049;1050;1205;1200;0,9959;138020;0,1903;0;625;229,0788;0;486;10;;0;0;1266;837;0,6611;4843;0,0060;1;425;7,6509;21;30;8;299;
iis-100-0-cov;100;3831;100;1,00;true;6.0;6.0;6.0;6.0;100;1.0;1.0;100;100;100;1,0000;4319;0,8725;16;98;86,3800;80;91;7;97;0;0;3931;100;0,0254;22986;0,0030;5;608;11,6947;79;91;8;194;
iis-bupa-cov;345;4803;345;1,00;true;7.0;8.0;7.0;7.0;345;1.0;1.0;345;345;345;1,0000;19096;0,3218;0;319;110,7014;0;228;9;;0;0;5144;341;0,0663;38392;0,0029;1;862;14,9269;118;228;9;607;
iis-pima-cov;768;7201;768;1,00;true;8.0;10.0;9.0;9.0;768;1.0;1.0;768;768;768;1,0000;39463;0,1340;0;651;102,7682;0;339;10;;0;0;7937;736;0,0927;71941;0,0023;1;1324;18,1280;153;338;10;1240;
lectsched-4-obj;7901;14163;7901;1,00;true;1.0;7.0;5.0;5.0;7901;-1320.0;1320.0;1050;7901;7901;1,0000;65305;0,0021;0;937;16,5308;0;231;8;;0;0;21971;7808;0,3554;82428;0,0003;1;1124;7,5033;171;231;8;508;
m100n500k4r1;500;100;500;1,00;true;8.0;32.0;20.0;20.0;500;1.0;1.0;500;500;500;1,0000;19035;0,1526;55;100;76,1400;104;438;9;488;0;0;600;500;0,8333;2000;0,0111;4;32;6,6667;35;82;8;190;
macrophage;2260;3164;2260;1,00;true;3.0;3.0;3.0;3.0;2260;-1.0;1.0;1582;2260;2260;1,0000;4590;0,0018;2;62;4,0619;2;15;7;;0;0;5424;2260;0,4167;9492;0,0006;2;72;3,5000;3;15;7;;
mcsched;1747;2107;1745;1,00;false;2.0;1575.0;3.0;3.0;1745;-1000.0;1.0;1;1747;1745;0,9989;1243386;0,8153;4;1579;1423,4528;1576;1576;11;1661;0;0;3854;1745;0,4528;8088;0,0011;1;1577;4,1972;27;96;8;666;
mik.250-1-100.1;251;151;250;1,00;false;0.0;52.0;34.0;35.0;250;-100.0;1985.0;251;251;250;0,9960;11575;0,3689;52;250;92,2311;52;52;7;119;0;0;402;250;0,6219;5351;0,0664;1;101;26,6219;51;51;6;103;
mine-90-10;900;6270;900;1,00;true;2.0;180.0;2.0;2.0;900;-47497.0;47497.0;900;900;900;1,0000;112950;0,2792;179;269;251,0000;179;179;10;889;0;0;7170;900;0,1255;15407;0,0006;2;180;4,2976;54;147;8;1605;
mine-166-5;830;8429;830;1,00;true;2.0;332.0;2.0;2.0;830;-25422.0;25422.0;830;830;830;1,0000;178699;0,5194;331;497;430,6000;331;331;10;829;0;0;9259;830;0,0896;19412;0,0005;2;332;4,1931;77;276;8;1542;
./..\input\benchmarks\msc98-ip.mps;no result;
./..\input\benchmarks\mzzv11.mps;no result;
./..\input\benchmarks\n4-3.mps;no result;
neos18;3312;11402;3312;1,00;true;1.0;80.0;2.0;2.0;3312;-1.0;1.0;80;3312;3312;1,0000;90671;0,0165;0;89;54,7530;0;87;11;;0;0;14714;3312;0,2251;24614;0,0002;1;144;3,3457;1;68;7;;
./..\input\benchmarks\neos-686190.mps;no result;
neos-849702;1737;1041;1737;1,00;true;9.0;32.0;18.0;18.0;1737;-1.0;1.0;0;1737;1737;1,0000;82920;0,0550;16;158;95,4750;198;1265;11;1719;0;0;2778;1737;0,6253;19308;0,0050;1;32;13,9006;92;692;11;1602;
./..\input\benchmarks\neos-916792.mps;no result;
./..\input\benchmarks\neos-934278.mps;no result;
neos-1109824;1520;28979;1520;1,00;true;2.0;76.0;3.0;3.0;1520;-1.0;1.0;1512;1520;1520;1,0000;95950;0,0831;73;130;126,2500;225;1106;11;1457;0;0;30499;1520;0,0498;89528;0,0002;2;76;5,8709;67;265;10;1245;
./..\input\benchmarks\neos-1337307.mps;no result;
neos-1396125;1161;1494;129;0,11;false;0.0;30.0;1.0;3.0;1158;-250.0;196.0;258;1161;129;0,1111;10845;0,0161;10;49;18,6822;59;444;10;1018;0;0;2655;129;0,0486;5511;0,0016;1;31;4,1514;40;186;9;1034;
./..\input\benchmarks\neos-1601936.mps;no result;
./..\input\benchmarks\net12.mps;no result;
newdano;505;576;56;0,11;false;0.0;7.0;0.0;3.0;56;-81.0;1.0;1;505;56;0,1109;6552;0,0515;8;56;25,9485;52;292;9;494;0;0;1081;56;0,0518;2184;0,0037;2;56;4,0407;26;87;8;334;
noswot;128;182;100;0,78;false;2.0;25.0;2.0;4.0;100;-21.0;21.0;25;128;100;0,7812;935;0,1150;2;35;14,6094;24;24;7;83;0;0;310;100;0,3226;735;0,0153;1;25;4,7419;10;19;7;159;
./..\input\benchmarks\ns1208400.mps;no result;
./..\input\benchmarks\ns1688347.mps;no result;
ns1766074;100;182;90;0,90;false;1.0;9.0;1.0;3.0;0;-1.0;10.0;90;100;90;0,9000;945;0,1909;18;27;18,9000;20;67;7;98;0;0;282;90;0,3191;666;0,0168;3;34;4,7234;17;19;7;78;
ns1830653;1629;2932;1458;0,90;false;1.0;80.0;33.0;34.0;1629;-1.0;290.0;747;1629;1458;0,8950;192078;0,1449;0;380;235,8232;0;992;11;;0;0;4543;1458;0,3209;100933;0,0098;1;96;44,4345;213;962;11;2881;
./..\input\benchmarks\opm2-z7-s2.mps;no result;
./..\input\benchmarks\pg5_34.mps;no result;
pigeon-10;490;931;400;0,82;false;4.0;12.0;7.0;8.0;400;-85.0;1000.0;100;490;400;0,8163;6810;0,0568;0;117;27,7959;0;119;9;;0;0;1331;370;0,2780;8180;0,0092;2;78;12,2915;55;119;9;318;
pw-myciel4;1059;8164;1059;1,00;true;2.0;24.0;2.0;2.0;1058;-1.0;1.0;1;1059;1059;1,0000;22034;0,0393;27;529;41,6128;90;417;11;1013;0;0;9223;1059;0,1148;17779;0,0004;2;27;3,8554;33;70;8;1606;
qiu;840;1192;48;0,06;false;0.0;1.0;0.0;2.0;48;-22.23;1.0;312;840;48;0,0571;79332;0,2251;11;201;188,8857;220;329;10;810;0;0;2032;48;0,0236;3432;0,0017;2;198;3,3780;18;69;9;505;
ran16x16;512;288;256;0,50;false;0.0;1.0;0.0;3.0;0;-54.0;1.0;512;512;256;0,5000;4096;0,0313;1;31;16,0000;30;159;7;256;0;0;800;256;0,3200;1024;0,0032;1;16;2,5600;16;16;6;66;
reblock67;670;2523;670;1,00;true;2.0;134.0;2.0;2.0;670;-6507.0;6507.0;670;670;670;1,0000;62511;0,2789;133;200;186,6000;133;133;10;656;0;0;3193;670;0,2098;7495;0,0015;2;134;4,6946;43;122;8;1001;
rmatr100-p5;8784;8685;100;0,01;false;1.0;100.0;1.0;3.0;100;-1.0;1.0;8784;8784;100;0,0114;30902;0,0008;2;290;7,0360;99;99;10;442;0;0;17469;100;0,0057;26152;0,0002;1;100;2,9941;89;100;11;1399;
rmatr100-p10;7359;7260;100;0,01;false;1.0;100.0;1.0;3.0;100;-1.0;1.0;7359;7359;100;0,0136;26627;0,0010;2;267;7,2366;99;99;10;429;0;0;14619;100;0,0068;21877;0,0002;1;100;2,9930;83;100;11;1253;
rmine6;1096;7078;1096;1,00;true;2.0;432.0;2.0;2.0;1096;-99.670269;99.670269;1096;1096;1096;1,0000;282129;0,4702;264;644;514,8339;431;431;11;1093;0;0;8174;1096;0,1341;18084;0,0005;2;432;4,4248;62;286;8;1789;
./..\input\benchmarks\rococoC10-001000.mps;no result;
roll3000;1166;2295;738;0,63;false;0.0;490.0;12.0;12.0;1165;-112.0;322.0;1;1166;738;0,6329;153577;0,2261;1;564;263,4254;490;494;10;1001;0;0;3461;738;0,2132;29386;0,0049;0;491;16,9812;0;282;9;;
./..\input\benchmarks\satellites1-25.mps;no result;
./..\input\benchmarks\sp98ir.mps;no result;
tanglegram2;4714;8980;4714;1,00;true;3.0;3.0;3.0;3.0;4714;-1.0;1.0;4490;4714;4714;1,0000;9320;0,0008;2;1262;3,9542;2;13;5;;0;0;13694;4714;0,3442;26940;0,0003;2;2460;3,9346;2;13;6;;
timtab1;397;171;171;0,43;false;1.0;1.0;1.0;4.0;397;-60.0;1.0;128;397;171;0,4307;1439;0,0183;2;142;7,2494;12;14;7;64;0;0;568;171;0,3011;829;0,0051;1;52;2,9190;12;16;5;80;
./..\input\benchmarks\unitcal_7.mps;no result;
